"campagne";"npp";"xl93";"yl93"
2019;"19-34-236-1-244T";710193;6283509
2019;"19-37-129-1-135T";502018;6717585
2019;"19-39-258-1-126T";897062;6613543
2019;"19-45-178-1-108T";676497;6747979
2019;"19-48-225-1-205T";717365;6411664
2019;"19-53-101-1-109T";445769;6824114
2019;"19-54-239-1-055T";913298;6843890
2019;"19-54-244-1-064T";918728;6813410
2019;"19-54-257-1-049T";973461;6843645
2019;"19-56-039-1-141T";227674;6793432
2019;"19-57-250-1-044T";957527;6867266
2019;"19-57-259-1-031T";997822;6896506
2019;"19-57-264-1-044T";999635;6852728
2019;"19-60-145-1-053T";634088;6947880
2019;"19-63-210-1-174T";704184;6517819
2019;"19-63-218-1-180T";722082;6492052
2019;"19-65-165-1-277T";464389;6256071
2019;"19-65-166-1-284T";460334;6234366
2019;"19-65-172-1-284T";478203;6228330
2019;"19-71-231-1-145T";796869;6583342
2019;"19-71-255-1-131T";883575;6602008
2019;"19-77-173-1-063T";707463;6889181
2019;"19-82-191-1-241T";579408;6338751
2019;"19-83-314-1-224T";963810;6261935
2019;"19-86-137-1-167T";493259;6613670
2019;"19-87-164-1-168T";573210;6584602
2019;"19-87-173-1-191T";576189;6506771
2019;"19-91-154-1-086T";627746;6840097
2020;"20-01-248-1-138T";851916;6586889
2020;"20-02-181-1-059T";732757;6890940
2020;"20-07-259-1-187T";834468;6428978
2020;"20-10-189-1-077T";738134;6829024
2020;"20-11-218-1-280T";616606;6192402
2020;"20-11-224-1-274T";641412;6204831
2020;"20-13-276-1-234T";837045;6270756
2020;"20-14-095-1-089T";444587;6889535
2020;"20-14-099-1-095T";451124;6867583
2020;"20-16-138-1-208T";451240;6489474
2020;"20-16-146-1-200T";483444;6506068
2020;"20-16-154-1-184T";524314;6545045
2020;"20-18-190-1-136T";681011;6651553
2020;"20-19-183-1-203T";591026;6458535
2020;"20-23-171-1-173T";586294;6560360
2020;"20-24-158-1-224T";494956;6421322
2020;"20-24-166-1-211T";532623;6451849
2020;"20-26-262-1-184T";846875;6434504
2020;"20-26-263-1-183T";850953;6436690
2020;"20-29-028-1-146T";186513;6787576
2020;"20-2A-364-1-249T";1213074;6091620
2020;"20-31-189-1-265T";545731;6266907
2020;"20-36-156-1-154T";560886;6633145
2020;"20-36-157-1-151T";566979;6641140
2020;"20-36-159-1-157T";566890;6621206
2020;"20-36-160-1-162T";564236;6605026
2020;"20-37-143-1-141T";535313;6685339
2020;"20-38-269-1-163T";888691;6490051
2020;"20-40-124-1-250T";366802;6379066
2020;"20-40-140-1-266T";397878;6314622
2020;"20-40-146-1-274T";408358;6284556
2020;"20-42-226-1-164T";759637;6531229
2020;"20-47-155-1-237T";472537;6385548
2020;"20-47-163-1-237T";497053;6377449
2020;"20-47-165-1-229T";510349;6399351
2020;"20-48-231-1-203T";734246;6409695
2020;"20-52-244-1-078T";901692;6769803
2020;"20-52-244-1-082T";897477;6757639
2020;"20-54-247-1-057T";931813;6829672
2020;"20-57-239-1-041T";924904;6885237
2020;"20-57-246-1-028T";958848;6916918
2020;"20-57-267-1-025T";1024834;6905090
2020;"20-60-165-1-051T";693286;6931963
2020;"20-62-135-1-015T";640105;7069758
2020;"20-62-140-1-032T";637651;7014321
2020;"20-62-144-1-019T";663141;7049015
2020;"20-63-224-1-164T";753917;6533748
2020;"20-64-144-1-284T";391252;6256165
2020;"20-65-177-1-283T";490938;6225506
2020;"20-66-240-1-274T";688572;6188112
2020;"20-68-272-1-068T";995453;6771160
2020;"20-74-286-1-148T";955041;6517440
2020;"20-75-162-1-076T";658408;6859472
2020;"20-77-176-1-074T";702013;6851788
2020;"20-77-187-1-081T";727791;6818918
2020;"20-80-157-1-035T";685889;6987586
2020;"20-81-209-1-239T";631671;6324760
2020;"20-81-212-1-254T";625531;6276368
2020;"20-81-217-1-239T";655460;6316135
2020;"20-81-219-1-239T";662201;6313972
2020;"20-87-161-1-169T";560276;6582558
2021;"21-03-193-1-158T";672220;6582402
2021;"21-03-219-1-154T";753938;6566975
2021;"21-07-258-1-185T";839244;6435085
2021;"21-11-222-1-257T";657261;6256092
2021;"21-11-222-1-279T";634902;6190210
2021;"21-11-240-1-269T";699118;6201878
2021;"21-13-274-1-237T";833030;6262623
2021;"21-13-278-1-235T";846860;6265170
2021;"21-17-118-1-197T";408405;6542553
2021;"21-17-134-1-217T";435224;6465705
2021;"21-19-189-1-196T";621650;6472148
2021;"21-19-193-1-192T";637002;6480727
2021;"21-19-197-1-180T";661999;6512060
2021;"21-21-228-1-095T";841309;6734393
2021;"21-21-233-1-098T";853365;6720324
2021;"21-22-029-1-116T";224952;6875875
2021;"21-23-174-1-165T";608178;6580841
2021;"21-23-175-1-172T";604503;6558686
2021;"21-23-181-1-174T";619864;6546104
2021;"21-24-159-1-200T";527086;6491143
2021;"21-26-270-1-183T";876956;6428332
2021;"21-27-132-1-067T";583515;6916648
2021;"21-28-140-1-103T";570053;6800393
2021;"21-29-018-1-153T";154460;6775694
2021;"21-29-028-1-139T";197970;6807310
2021;"21-30-262-1-223T";811279;6317359
2021;"21-32-163-1-268T";469392;6284265
2021;"21-36-173-1-140T";631263;6655994
