sl|npp|disti|xi|yi|repi|flpi
1|25-80-128-1-041T|-10|599631|6999402|1|H
1|25-81-198-1-240T|3|605559|6333001|1|B
1|25-81-209-1-244T|-15|633474|6309293|1|0
1|25-81-211-1-250T|-14|633489|6289423|1|H
1|25-81-211-1-258T|-5|625120|6265587|1|B
1|25-81-212-1-247T|18|640082|6297294|1|B
1|25-81-223-1-246T|-30|673485|6289544|1|C
1|25-82-187-1-254T|-2|557460|6301919|1|0
1|25-83-310-1-219T|24|961642|6280329|1|0
2|25-83-310-1-228T|20|952397|6253677|1|B
1|25-83-310-1-228T|-9|952394|6253706|1|B
1|25-83-319-1-222T|4|984816|6262474|1|C
1|25-84-267-1-212T|-29|840304|6345614|1|H
1|25-85-093-1-176T|9|356852|6631939|1|0
1|25-85-108-1-182T|25|395399|6598202|1|B
1|25-86-127-1-155T|-19|479624|6659591|1|A
1|25-86-143-1-176T|13|506336|6580857|1|B
1|25-86-145-1-173T|-1|515725|6587260|1|B
1|25-86-151-1-174T|-9|532305|6578071|1|C
1|25-86-152-1-170T|16|538951|6589086|2|C
1|25-87-164-1-190T|30|554618|6517439|1|B
1|25-89-209-1-109T|-12|772146|6712723|1|H
1|25-91-158-1-087T|-8|642143|6830887|1|C
1|25-95-142-1-070T|-28|611356|6898086|1|B
1|25-01-271-1-151T|1|914432|6524155|1|B
1|25-02-182-1-030T|16|772393|6976455|1|H
1|25-03-190-1-145T|-16|678163|6624479|1|C
1|25-03-194-1-143T|-28|692351|6626336|1|B
1|25-03-194-1-157T|-1|678472|6584620|1|H
1|25-03-202-1-162T|28|697450|6561735|1|H
1|25-03-204-1-145T|-10|720594|6610332|1|H
1|25-03-207-1-162T|-4|712150|6556976|1|H
1|25-03-210-1-144T|-10|739481|6607235|1|B
1|25-03-216-1-143T|-26|758455|6604282|1|B
1|25-03-216-1-158T|-26|742623|6559150|1|H
1|25-03-220-1-159T|27|753640|6552819|1|B
1|25-03-221-1-146T|-2|769774|6589885|1|B
1|25-12-203-1-224T|-13|636439|6375840|1|H
1|25-12-204-1-231T|-7|631863|6353813|1|B
