"dir","type_point","npp","nph","type_res","nom_site"
"DIRCE","nouveau","26-38-276-1-179T","262761179","réserve naturelle nationale","Hauts Plateaux Du Vercors"
"DIRCE","nouveau","26-38-278-1-183T","262781183","réserve naturelle nationale","Hauts Plateaux Du Vercors"
"DIRCE","nouveau","26-38-278-1-185T","262781185","réserve naturelle nationale","Hauts Plateaux Du Vercors"
"DIRCE","nouveau","26-38-280-1-163T","262801163","réserve naturelle nationale","Hauts De Chartreuse"
"DIRCE","nouveau","26-63-198-1-181T","261981181","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-63-199-1-180T","261991180","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-63-199-1-182T","261991182","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-63-199-1-184T","261991184","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-63-200-1-181T","262001181","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-63-200-1-183T","262001183","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-63-200-1-187T","262001187","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-63-201-1-182T","262011182","réserve biosphère","Bassin de la Dordogne (zone de transition)"
"DIRCE","nouveau","26-63-203-1-182T","262031182","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-63-203-1-186T","262031186","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-63-204-1-183T","262041183","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-63-204-1-187T","262041187","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-63-205-1-182T","262051182","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-63-205-1-188T","262051188","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-63-206-1-185T","262061185","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-63-207-1-182T","262071182","réserve naturelle nationale","Vallée De Chaudefour"
"DIRCE","nouveau","26-63-207-1-184T","262071184","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-63-207-1-186T","262071186","réserve biosphère","Bassin de la Dordogne (zone tampon)"
"DIRCE","nouveau","26-73-296-1-157T","262961157","réserve naturelle nationale","Plan De Tueda"
"DIRCE","nouveau","26-74-293-1-136T","262931136","réserve naturelle nationale","Carlaveyron"
"DIRCE","nouveau","26-74-293-1-140T","262931140","réserve naturelle nationale","Contamines-Montjoie"
"DIRCE","visite2","21-01-269-1-138T","212691138","réserve naturelle nationale","Haute Chaîne du Jura"
"DIRCE","visite2","21-01-269-1-156T","212691156","réserve naturelle nationale","Haut-Rhône Français"
