npp,id,id_massif,surf_ilot_bdforet_ha
23-43-227-1-186T,74833.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1565.519999999999982
23-43-227-1-192T,75583.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,2375.800000000000182
23-43-227-1-196T,83179.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,3529.800000000000182
23-43-228-1-185T,77817.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1301.809999999999945
23-43-228-1-187T,77810.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,837.399999999999977
23-43-228-1-195T,76784.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1430.829999999999927
23-43-228-1-197T,83179.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,3529.800000000000182
23-43-229-1-186T,77358.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,850.460000000000036
23-43-229-1-190T,82112.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-011887,1.330000000000000
23-43-229-1-194T,76784.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1430.829999999999927
23-43-229-1-196T,75066.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1272.410000000000082
23-43-230-1-183T,75503.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,352.750000000000000
23-43-230-1-187T,80108.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,753.529999999999973
23-43-230-1-191T,79288.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,161.740000000000009
23-43-230-1-195T,77201.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,251.610000000000014
23-43-231-1-184T,75567.000000000000000,d53b3fb4-5eb7-4470-b397-ce8f57b4baea-000001,1672.589999999999918
