OBJECTID,DEP,DEPB,CYCCARTE,TFIFN,FAO2,NUM_DEP,ZPOPCODE,CODE_ONF,FREQUENCY,SUM_Shape_Area
5942,45,45,3,CRJ,1,45,2,,1,51461.437500000000000
5943,45,45,3,CSA,1,45,1,,3,55911158.890123963000000
5944,45,45,3,CSA,1,45,1,1O,1,67796769.130090266000000
5945,45,45,3,CSA,1,45,1,2M,1,135949.696929893720000
5946,45,45,3,CSA,1,45,1,2O,1,564232.951664066410000
5947,45,45,3,CSA,1,45,2,,2,7124054.520793502200000
5948,45,45,3,CSA,1,45,2,1O,1,1902546.927079274800000
5949,45,45,3,CSA,1,45,2,2O,1,123712.444671541860000
5950,45,45,3,CSJ,1,45,1,,1,728416.741192741320000
5951,45,45,3,CSJ,1,45,1,1O,1,6963705.313775009500000
5952,45,45,3,CSJ,1,45,2,,1,126754.752770673350000
5953,45,45,3,CSJ,1,45,2,1O,1,487494.119334656920000
5954,45,45,3,FR,1,45,1,,2,22150450.284327433000000
5955,45,45,3,FR,1,45,1,1O,1,52113814.313673571000000
5956,45,45,3,FR,1,45,1,2M,1,8346.927650684165200
5957,45,45,3,FR,1,45,1,2O,1,629398.408102281160000
5958,45,45,3,FR,1,45,2,,1,4294645.645941311500000
5959,45,45,3,FR,1,45,2,1O,1,1948278.858043952600000
5960,45,45,3,FR,1,45,2,2O,1,7311.226110368178500
5961,45,45,3,HFW,1,45,1,,9,669211172.332502960000000
5962,45,45,3,HFW,1,45,1,1O,2,59883927.072965600000000
5963,45,45,3,HFW,1,45,1,2M,1,30904.550983530680000
5964,45,45,3,HFW,1,45,1,2O,1,3047649.546335335800000
5965,45,45,3,HFW,1,45,2,,7,136008940.540838540000000
5966,45,45,3,HFW,1,45,2,1O,1,3520473.659001074700000
5967,45,45,3,HFW,1,45,2,2O,1,662605.829520871050000
5968,45,45,3,HFZ,1,45,1,,4,55462824.483937755000000
5969,45,45,3,HFZ,1,45,1,1O,1,39411083.290836893000000
5970,45,45,3,HFZ,1,45,1,2M,1,165213.197434796810000
5971,45,45,3,HFZ,1,45,1,2O,1,543091.446141524240000
5972,45,45,3,HFZ,1,45,2,,3,11424042.893321125000000
5973,45,45,3,HFZ,1,45,2,1O,1,2314051.493146375800000
5974,45,45,3,HFZ,1,45,2,2O,1,52205.731996352384000
