"","npp","ser_86","esspre","sver","vh","hm"
"100","20-40-142-1-262T","F21","51","6",107.73074456369,20.6
"101","20-40-142-1-264T","F21","02","5",154.900563243556,34.9
"102","20-40-144-1-254T","F21","51","6",133.202399493749,16.4
"103","20-40-144-1-256T","F21","51","6",160.213777948485,18.1
"104","20-40-144-1-258T","F21","51","2",16.991398356789,7.5
"105","20-40-144-1-264T","F21","51",NA,6.26314021022732,6.9
"106","20-40-146-1-256T","F21","51","5",359.257011854156,25.8
"107","20-40-146-1-260T","F21","51","2",9.68262336412113,9
"108","20-40-146-1-262T","F21","51","6",434.697233928898,25.2
"109","20-40-148-1-254T","F21","51","6",65.4999812250651,13
"110","20-40-148-1-258T","F21","51","6",81.2182887747452,22.3
"111","20-40-148-1-260T","F21","51","2",4.36316033350394,6.6
"112","20-40-148-1-262T","F21","51","6",120.587208915267,16.9
"113","20-40-150-1-254T","F21","51","2",4.55267326539159,5.8
"114","20-40-150-1-256T","F21","51","6",111.83714410862,13.5
"115","20-40-150-1-258T","F21","02","5",145.316973021965,21.9
"116","20-40-150-1-260T","F21","51","4",217.774158187014,29.3
"117","20-40-152-1-254T","F21","51","2",5.43632819397697,5.5
"118","20-40-153-1-257T","F21","51","5",303.394708093603,19.3
"119","20-40-154-1-252T","F21","51","5",326.105071569504,30.8
"120","20-40-154-1-254T","F21","51","2",48.9438742548273,9.3
"121","20-40-156-1-252T","F21","51","2",17.5800429936748,16.6
"122","20-40-156-1-254T","F21","51",NA,39.6177468697377,15.5
"123","20-40-158-1-252T","F21","51","5",567.747006163219,31.7
"124","20-47-154-1-246T","F21","51","6",286.296918462798,28.6
"125","20-47-154-1-248T","F21","02","4",59.4297184129464,18.4
"126","20-47-154-1-250T","F21","51","2",39.8869613261127,7.8
"127","20-47-156-1-246T","F21","51","4",75.8199748248607,14.8
"128","20-47-156-1-250T","F21","51","6",173.594202925922,23.4
"129","20-47-158-1-246T","F21","51","2",7.92289696321654,6.1
"130","20-47-158-1-248T","F21","51","2",3.89365524511495,5.4
"131","20-47-158-1-250T","F21","51","2",1.95039291362985,4.4
"132","20-47-160-1-246T","F21","02","5",118.227379324832,20.2
"133","20-47-160-1-248T","F21","51","5",47.1341432358443,18
"134","20-47-162-1-250T","F21","02","6",24.8135354880422,21.3
"135","20-47-163-1-249T","F21","02","6",285.03607294337,27.9
"136","21-33-116-1-215T","F21","02","5",166.794806260567,25
"137","21-33-118-1-219T","F21","51","6",184.126557562717,15.5
"138","21-33-118-1-221T","F21","51","6",81.2701595318515,11.7
"139","21-33-118-1-223T","F21","51","6",210.965454386224,15.1
"140","21-33-118-1-225T","F21","51","2",37.0694170088336,8.4
"141","21-33-120-1-223T","F21","51","6",147.247647168604,21.5
"142","21-33-120-1-227T","F21","51","5",375.878589222048,20.5
"143","21-33-120-1-229T","F21","51","5",88.0780297846718,13.1
"144","21-33-120-1-235T","F21","51","5",384.961746572471,26.4
"145","21-33-122-1-221T","F21","02","5",231.502563584299,27.3
"146","21-33-122-1-223T","F21","51","6",273.112500288171,20.2
"147","21-33-122-1-227T","F21","51",NA,16.4875440335922,15.4
"148","21-33-122-1-231T","F21","51","6",157.434076131522,16.6
"149","21-33-122-1-235T","F21","51","2",17.1143954654257,7.1
"150","21-33-122-1-237T","F21","51","2",53.2852787290259,8.5
"151","21-33-122-1-243T","F21","51","4",325.230976632127,29.3
"152","21-33-124-1-225T","F21","51","6",61.730676100651,9.9
"153","21-33-124-1-227T","F21","51","6",173.510128475978,12.7
"154","21-33-124-1-235T","F21","51","6",101.632363159358,12.5
"155","21-33-124-1-239T","F21","51","6",82.1239601881491,11.6
"156","21-33-124-1-243T","F21","51","2",63.1059428921612,7.9
"157","21-33-126-1-231T","F21","02","5",96.065647876981,16.8
"158","21-33-126-1-237T","F21","51","6",139.866863354029,13.8
"159","21-33-126-1-239T","F21","07","2",37.4994501655057,15.8
"160","21-33-126-1-241T","F21","02",NA,27.5017244971387,9.7
"161","21-33-126-1-243T","F21","51","5",222.657586523482,31.3
"162","21-33-128-1-231T","F21","51","5",239.146055085891,29.8
"163","21-33-128-1-243T","F21","51","5",242.998818508086,22.2
"164","21-33-130-1-229T","F21","02","5",332.228114344935,26.7
"165","21-33-130-1-235T","F21","02","5",253.520838921583,24.5
"166","21-33-130-1-237T","F21","51","5",107.163857205818,16.9
"167","21-33-130-1-241T","F21","51","2",40.7065235201785,10.5
"168","21-33-130-1-245T","F21","51","6",103.456950143921,16.4
"169","21-33-132-1-239T","F21","51","6",172.924890003967,15
"170","21-33-132-1-241T","F21","51","4",150.794209923526,23.7
"171","21-33-132-1-243T","F21","51","6",73.0413003645451,10.8
"172","21-33-134-1-237T","F21","02","6",146.183087437759,22.9
"173","21-33-134-1-239T","F21","51","2",89.8605256908626,9.1
"174","21-33-134-1-241T","F21","51","6",289.761265934944,24.3
"175","21-33-134-1-243T","F21","07","2",20.1578933517521,12.1
"176","21-33-136-1-239T","F21","51","2",53.5644300806395,9.6
"177","21-33-136-1-243T","F21","51","5",192.69967908611,16.5
"178","21-33-138-1-243T","F21","51","5",94.8352464465466,19.8
"179","21-33-138-1-245T","F21","51","6",14.7068959934939,8.4
"180","21-33-140-1-243T","F21","02","5",67.4155227379421,25.3
"181","21-33-142-1-245T","F21","51","6",157.005527446504,25.3
"182","21-33-142-1-247T","F21","51","6",64.1456471848764,11.7
"183","21-33-144-1-243T","F21","51","6",223.873380636684,21.5
"184","21-33-144-1-251T","F21","51",NA,3.10632804851474,6.3
"185","21-33-146-1-247T","F21","51","6",134.397641973779,16.2
"186","21-33-146-1-249T","F21","51","6",79.0140444109264,14.3
"187","21-33-146-1-251T","F21","51",NA,67.9781735099858,20.8
"188","21-33-148-1-247T","F21","51","6",259.15781774928,27.5
"189","21-33-150-1-247T","F21","51","6",226.22154521844,17.3
"190","21-33-150-1-249T","F21","51","2",5.18787331049219,5.8
"191","21-40-124-1-247T","F21","51","6",276.192527097674,21.7
"192","21-40-124-1-249T","F21","51","6",155.89838883264,16.3
"193","21-40-124-1-251T","F21","51","6",264.032581568764,25.2
"194","21-40-124-1-255T","F21","51","5",115.240175659582,21.5
"195","21-40-124-1-259T","F21","02",NA,2.56164747593993,6.2
"196","21-40-125-1-270T","F21","51","5",108.594467654297,16.3
"197","21-40-126-1-247T","F21","51","2",2.53865598971508,4.8
"198","21-40-126-1-249T","F21","51","6",148.642754228351,15.1
"199","21-40-126-1-251T","F21","51","2",58.8369199084718,8.6
"200","21-40-126-1-253T","F21","51","6",158.343896989056,15.6
"201","21-40-126-1-255T","F21","51","2",82.2672650543669,9.7
"202","21-40-126-1-263T","F21","51","6",207.739411363276,19
"203","21-40-126-1-265T","F21","51","2",6.63609324500833,5.5
"204","21-40-126-1-267T","F21","51","6",300.255263571857,25.2
"205","21-40-126-1-277T","F21","51",NA,35.0620037757481,13
"206","21-40-127-1-272T","F21","51","6",166.055086905784,14.7
"207","21-40-128-1-255T","F21","51","6",102.088881125717,11.8
"208","21-40-128-1-259T","F21","51","5",129.629356910374,15
"209","21-40-128-1-263T","F21","51","6",228.544607473842,20.2
"210","21-40-128-1-267T","F21","51","6",222.625908739978,15
"211","21-40-128-1-271T","F21","51","2",11.6407342344601,5.8
"212","21-40-128-1-275T","F21","51","2",99.4454437153476,10.7
"213","21-40-130-1-251T","F21","77","2",13.9159313619635,6.8
"214","21-40-130-1-253T","F21","51","6",184.563443865813,16.3
"215","21-40-130-1-255T","F21","51","2",9.96035638045306,6.9
"216","21-40-130-1-259T","F21","51","6",17.1194858391673,17.4
"217","21-40-130-1-261T","F21","51","6",168.547115401361,21.7
"218","21-40-130-1-263T","F21","51","6",140.406607504326,12.2
"219","21-40-130-1-265T","F21","51","6",237.004050598216,19.4
"220","21-40-130-1-267T","F21","51","2",5.52953500309149,5.5
"221","21-40-130-1-269T","F21","51","6",82.2512408520678,16.9
"222","21-40-132-1-251T","F21","51","2",33.4104029172666,7.5
"223","21-40-132-1-255T","F21","77","2",53.1805603318192,8.3
"224","21-40-132-1-257T","F21","51","5",189.074034260281,17
"225","21-40-132-1-259T","F21","51","6",120.163861419845,14.8
"226","21-40-132-1-263T","F21","51","5",134.585074157217,17.6
"227","21-40-132-1-271T","F21","02","6",15.0193908984267,11.7
"228","21-40-134-1-247T","F21","51","5",129.503433524536,18
"229","21-40-134-1-249T","F21","02","5",128.853914725155,16.6
"230","21-40-134-1-253T","F21","51","6",179.772907612625,20.5
"231","21-40-134-1-255T","F21","02","5",294.619186147945,30.6
"232","21-40-134-1-257T","F21","51","2",31.9878615316103,7
"233","21-40-134-1-261T","F21","07",NA,30.2400606747832,13.3
"234","21-40-134-1-263T","F21","51","4",90.613438115721,22.9
"235","21-40-134-1-265T","F21","51","6",101.133196472682,12.2
"236","21-40-134-1-269T","F21","51","2",10.0479737892302,6.2
"237","21-40-136-1-247T","F21","51","2",37.3730428955773,7.9
"238","21-40-136-1-259T","F21","51","2",14.3724655661442,6.7
"239","21-40-136-1-263T","F21","25","3",41.3287818701558,9.2
"240","21-40-136-1-267T","F21","51","5",161.151857506572,24.4
"241","21-40-138-1-251T","F21","51","2",1.90786693100619,4.4
"242","21-40-138-1-257T","F21","51","5",201.86317340524,19.2
"243","21-40-138-1-261T","F21","51","2",15.6649196796029,6.6
"244","21-40-138-1-263T","F21","02","5",117.078929703449,15.4
"245","21-40-140-1-249T","F21","51","5",188.526790778846,24.3
"246","21-40-140-1-255T","F21","51","2",1.55636997981408,5.2
"247","21-40-140-1-257T","F21","51","2",26.9102684265094,12.7
