"","npp","ser_86","esspre","sver","vh","hm"
"184","21-57-267-1-032T","D11","52","5",361.955010581851,30
"185","21-57-267-1-042T","D11","09","5",141.406321640749,32.6
"186","21-57-267-1-044T","D11","52","4",109.825237222678,26
"187","21-57-267-1-046T","D11","62","6",378.865809400153,30.8
"188","21-57-267-1-048T","D11","61","6",905.435692516155,33.7
"189","21-57-268-1-027T","D11","03","5",323.106929352745,27.3
"190","21-57-268-1-029T","D11","09","5",121.507833770515,34.2
"191","21-57-268-1-031T","D11","09","6",97.9586579718203,33.5
"192","21-57-268-1-045T","D11","52","6",425.092804974473,26.9
"193","21-57-268-1-047T","D11","61","6",507.045409665312,31.1
"194","21-57-269-1-028T","D11","03","5",240.231463664274,23.3
"195","21-57-269-1-030T","D11","03","6",131.98222344867,28.6
"196","21-57-270-1-029T","D11","03","6",459.841428998382,20.7
"197","21-67-266-1-033T","D11","03","5",425.256562865458,30
"198","21-67-266-1-049T","D11","61","4",180.584639347547,31.5
"199","21-67-267-1-034T","D11","52","6",461.446644689283,32.5
"200","21-67-267-1-036T","D11","11","6",130.053986357772,28.5
"201","21-67-267-1-038T","D11","64","6",658.632175486791,44
"202","21-67-268-1-035T","D11","62","5",116.351786796199,33
"203","21-67-268-1-037T","D11","09","5",176.233062818071,18.7
"204","21-67-268-1-039T","D11","09","6",400.512673889695,30
"205","21-67-268-1-043T","D11","61","6",301.662122821512,34.6
"206","21-67-268-1-053T","D11","62","6",344.657035084779,24.5
"207","21-67-269-1-032T","D11","09","5",88.8451691300726,19.9
"208","21-67-269-1-034T","D11","52","4",97.217584444786,32.5
"209","21-67-269-1-044T","D11","61","5",574.462056177156,27.8
"210","21-67-269-1-046T","D11","61","5",587.491904409762,38.2
"211","21-67-269-1-048T","D11","64","6",268.82379110748,34.7
"212","21-67-269-1-050T","D11","64","5",310.5655822084,27.7
"213","21-67-270-1-033T","D11","52","5",193.01312333042,17
"214","21-67-270-1-045T","D11","09","5",318.101273449585,29
"215","21-67-270-1-049T","D11","31","5",147.694866341477,18.1
"216","21-67-270-1-053T","D11","62","6",479.412705599135,31.9
"217","21-67-271-1-028T","D11","09","6",235.942854283922,24.2
"218","21-67-271-1-030T","D11","62","6",590.033438619782,30.6
"219","21-67-271-1-032T","D11","03","5",433.483486895504,33.8
"220","21-67-271-1-044T","D11","03","4",116.137636999952,34.5
"221","21-67-271-1-048T","D11","09","4",40.5551328931084,21.2
"222","21-67-271-1-050T","D11","62","4",151.774623536479,16.7
"223","21-67-271-1-052T","D11","62","4",507.564806185795,45.2
"224","21-67-271-1-054T","D11","09","5",379.028495664777,38.6
"225","21-67-272-1-027T","D11","52","6",413.874734872553,25.3
"226","21-67-272-1-029T","D11","09","4",511.391300813064,43
"227","21-67-272-1-047T","D11","62","6",537.381784108444,31.5
"228","21-67-272-1-049T","D11","09","5",552.166393978591,33.3
"229","21-67-272-1-051T","D11","09","4",302.618277215629,22.9
"230","21-67-273-1-028T","D11","03","6",248.312699486186,32.9
"231","21-67-273-1-048T","D11","61","4",307.434889866869,33.7
"232","21-67-273-1-050T","D11","09","6",674.948652251551,32.9
"233","21-67-273-1-052T","D11","64","6",393.702404091081,30.4
"234","21-67-274-1-049T","D11","17","4",32.8025929786844,12.1
"235","21-67-275-1-026T","D11","13","5",325.971767261935,35.9
"236","21-67-275-1-052T","D11","24","4",94.5620671661895,18.8
"237","21-67-276-1-027T","D11","12","5",294.874365386507,28.4
"238","21-67-276-1-055T","D11","03","5",175.56183584729,21.2
"239","21-68-270-1-069T","D11","09","6",633.473402734172,30.1
"240","21-68-271-1-056T","D11","64","6",360.097982586421,24.8
"241","21-68-271-1-062T","D11","62","4",140.481568226004,27.8
